"extent","zone","EPL","RLE","type","get","realm","RLE_EPL"
56942.810860365,"Abyssal plains","PP","LC","SwI1","M3.3","marine","LC_PP"
3748.37724314446,"Abyssal plains","NP","LC","SwI2","M3.3","marine","LC_NP"
8379.64577534558,"Sandy shelves","NP","NT","Ags3","M1.7","marine","NT_NP"
1.63047062342191,"Boulder/cobble shores","MP","NT","SHa1","MT1.4","marine","NT_MP"
3990.51122860643,"Sandy shelves","NP","VU","Ags4","M1.7","marine","VU_NP"
116.445347944504,"Sandy shores","MP","LC","SHa3","MT1.3","marine","LC_MP"
25.1498200029029,"Sandy shores","MP","NT","SHa2","MT1.3","marine","NT_MP"
89.4899998908471,"Rocky shores","MP","VU","SHa4","MT1.1","marine","VU_MP"
8.29588149602399,"Rocky shores","PP","NT","SHa5","MT1.1","marine","NT_PP"
1853.57285690773,"Photic rocky reefs","MP","VU","Ags6","M1.6","marine","VU_MP"
17.6760227477687,"Photic rocky reefs","WP","LC","Ags5","M1.6","marine","LC_WP"
14.451768374427,"Sandy shores","MP","LC","SHa6","MT1.3","marine","LC_MP"
6.44674198801448,"Rocky shores","WP","VU","SHi1","MT1.1","marine","VU_WP"
12.3040435950156,"Kelp forests","PP","VU","Kf1","M1.2","marine","VU_PP"
1152.52390228667,"Canyons","MP","LC","SwI3","M3.2","marine","LC_MP"
3632.55998927126,"Mesophotic and sub-photic rocky shelves","MP","NT","Ags8","M1.5","marine","NT_MP"
51.8875901479681,"Mesophotic and sub-photic rocky shelves","PP","VU","Ags7","M1.5","marine","VU_PP"
188.084081621847,"Rocky shores","PP","NT","SHa7","MT1.1","marine","NT_PP"
1732.35397257669,"Muddy shelves","PP","CR","Ags9","M1.8","marine","CR_PP"
1278.0487674512,"Muddy shelves","PP","NT","Ags10","M1.8","marine","NT_PP"
5469.13037551092,"Plateaus","MP","LC","SwI4","M3.4","marine","LC_MP"
0.868005318487441,"Sandy shores","PP","EN","SHa8","MT1.3","marine","EN_PP"
98084.7628768811,"Pelagic ocean waters","NP","LC","Bc2","M2","marine","LC_NP"
4214.82119883301,"Mesophotic and sub-photic rocky shelves","WP","LC","Ags14","M1.5","marine","LC_WP"
8592.86430790231,"Plateaus","MP","LC","SwI5","M3.4","marine","LC_MP"
5232.98060109642,"Mesophotic and sub-photic rocky shelves","MP","LC","Ags15","M3.5","marine","LC_MP"
521.54655904102,"Sandy shelves","MP","VU","Ags16","M1.7","marine","VU_MP"
20233.0888154781,"Sandy shelves","PP","NT","Ags17","M1.7","marine","NT_PP"
7058.5123582321,"Sandy shelves","PP","NT","Ags18","M1.7","marine","NT_PP"
1.31753414924586,"Rocky shores","PP","EN","SHa9","MT1.1","marine","EN_PP"
8.35762098315369,"Rocky shores","PP","VU","SHa10","MT1.1","marine","VU_PP"
101.993641538527,"Canyons","MP","LC","Ags19","M3.2","marine","LC_MP"
9.07358637308985,"Rocky shores","PP","LC","SHa11","MT1.1","marine","LC_PP"
1.26502103971722,"Rocky shores","MP","NT","SHa12","MT1.1","marine","NT_MP"
5.21579499834488,"Photic rocky reefs","MP","CR","Ntl1","M1.6","marine","CR_MP"
31.8615057019809,"Mesophotic and sub-photic rocky shelves","WP","LC","Ags20","M1.5","marine","LC_WP"
468.735966369063,"Mesophotic and sub-photic rocky shelves","MP","NT","Ags21","M3.5","marine","NT_MP"
131.635631094592,"Mesophotic and sub-photic rocky shelves","PP","LC","Ntl2","M1.5","marine","LC_PP"
2164.06348441316,"Mesophotic and sub-photic rocky shelves","PP","CR","SoB11","M1.5","marine","CR_PP"
57854.9605379709,"Abyssal plains","PP","LC","SeA1","M3.3","marine","LC_PP"
73071.0038086917,"Abyssal plains","PP","LC","SeA2","M3.3","marine","LC_PP"
254.36523253387,"Bays","PP","CR","Cpe1",NA,"marine","CR_PP"
2.62294539023256,"Boulder/cobble shores","MP","VU","SHc1","MT1.4","marine","VU_MP"
28.8799923049157,"Rocky shores","MP","VU","SHc2","MT1.1","marine","VU_MP"
2.95176447335229,"Rocky shores","MP","EN","SHi2","MT1.1","marine","EN_MP"
